iter	Passed	Remaining
0	8	8213
1	15	7500
2	21	7290
3	28	7106
4	35	7132
5	42	7071
6	49	7079
7	57	7097
8	65	7159
9	72	7173
10	80	7196
11	87	7181
12	95	7287
13	104	7325
14	111	7303
15	118	7294
16	126	7311
17	133	7262
18	140	7245
19	147	7220
20	154	7193
21	164	7299
22	176	7512
23	189	7720
24	200	7832
25	212	7963
26	222	8003
27	229	7957
28	237	7953
29	244	7911
30	253	7912
31	265	8034
32	272	7992
33	280	7970
34	287	7923
35	294	7886
36	301	7850
37	308	7809
38	315	7779
39	322	7742
40	330	7720
41	336	7686
42	344	7659
43	351	7627
44	359	7627
45	367	7627
46	375	7616
47	382	7594
48	390	7572
49	397	7560
50	406	7569
51	413	7546
52	423	7558
53	431	7551
54	438	7530
55	445	7515
56	453	7509
57	461	7489
58	468	7475
59	476	7460
60	484	7453
61	492	7450
62	500	7446
63	508	7434
64	516	7430
65	524	7416
66	537	7486
67	549	7535
68	558	7529
69	565	7515
70	573	7504
71	581	7491
72	589	7482
73	597	7471
74	605	7463
75	613	7464
76	622	7456
77	630	7449
78	639	7453
79	646	7438
80	658	7471
81	666	7466
82	674	7454
83	682	7441
84	690	7430
85	698	7424
86	706	7418
87	717	7435
88	725	7429
89	733	7418
90	741	7407
91	749	7392
92	757	7389
93	765	7379
94	773	7365
95	784	7389
96	799	7438
97	812	7473
98	821	7479
99	831	7479
100	840	7478
101	848	7466
102	865	7533
103	873	7526
104	882	7526
105	892	7523
106	899	7509
107	907	7494
108	920	7525
109	928	7510
110	936	7499
111	944	7486
112	952	7475
113	961	7469
114	968	7452
115	975	7433
116	982	7416
117	990	7401
118	997	7383
119	1004	7364
120	1011	7348
121	1019	7335
122	1026	7317
123	1033	7303
124	1040	7286
125	1047	7269
126	1055	7253
127	1061	7234
128	1069	7220
129	1076	7203
130	1083	7186
131	1090	7171
132	1098	7160
133	1105	7144
134	1113	7131
135	1120	7120
136	1127	7103
137	1135	7090
138	1142	7078
139	1150	7068
140	1158	7058
141	1166	7045
142	1173	7032
143	1180	7017
144	1188	7006
145	1195	6994
146	1203	6980
147	1210	6967
148	1217	6954
149	1225	6943
150	1232	6929
151	1239	6914
152	1250	6922
153	1258	6911
154	1268	6913
155	1277	6913
156	1303	7001
157	1334	7111
158	1345	7114
159	1355	7115
160	1366	7120
161	1380	7140
162	1393	7156
163	1404	7160
164	1418	7178
165	1426	7167
166	1436	7166
167	1446	7164
168	1455	7156
169	1464	7151
170	1474	7149
171	1484	7144
172	1494	7143
173	1502	7134
174	1513	7134
175	1522	7127
176	1535	7140
177	1548	7152
178	1561	7162
179	1571	7161
180	1585	7173
181	1594	7167
182	1604	7165
183	1618	7177
184	1642	7236
185	1655	7244
186	1665	7240
187	1685	7280
188	1731	7430
189	1758	7497
190	1783	7552
191	1792	7542
192	1801	7531
193	1814	7537
194	1833	7568
195	1857	7618
196	1869	7621
197	1880	7616
198	1928	7760
199	1944	7777
200	1955	7774
201	1967	7772
202	1993	7825
203	2008	7835
204	2017	7824
205	2025	7805
206	2035	7797
207	2047	7795
208	2056	7783
209	2064	7765
210	2073	7752
211	2080	7734
212	2088	7717
213	2095	7697
214	2103	7679
215	2110	7661
216	2119	7648
217	2126	7628
218	2134	7613
219	2142	7594
220	2149	7576
221	2156	7558
222	2164	7542
223	2172	7525
224	2179	7506
225	2186	7488
226	2193	7469
227	2200	7451
228	2207	7433
229	2214	7414
230	2222	7398
231	2230	7383
232	2237	7364
233	2244	7346
234	2251	7330
235	2259	7315
236	2267	7300
237	2277	7291
238	2285	7275
239	2293	7261
240	2301	7246
241	2308	7230
242	2315	7214
243	2323	7198
244	2330	7181
245	2337	7165
246	2345	7149
247	2353	7135
248	2360	7118
249	2367	7102
250	2375	7087
251	2382	7070
252	2389	7053
253	2397	7040
254	2404	7023
255	2411	7007
256	2419	6994
257	2426	6977
258	2433	6963
259	2441	6949
260	2449	6935
261	2457	6922
262	2464	6906
263	2471	6891
264	2479	6876
265	2487	6864
266	2494	6849
267	2503	6837
268	2513	6829
269	2521	6817
270	2529	6803
271	2537	6791
272	2544	6777
